id;sid;company_name;bic_code;legal_domicile_id;npwp;npwp_reg_date;skd;skd_exp_date;company_establish_plce;company_establish_date;business_type;company_chracteristic;fund_source;fund_source_text;article_association;bussiness_reg_no;financial_asset_1;financial_asset_2;financial_asset_3;operating_profit_1;operating_profit_2;operating_profit_3;description;investment_objective;direct_sid;asset_owner;sup_doc_type;sup_doc_exp_date
1;Arizona Congole;Architect Developer;Automotive;32313;Facilitator Minnesota;2019-10-14;Lebanon open-source;2019-10-14;Steel;2019-10-15;M;l;feed;communities;Officer Quality-focused invoice;Identity Lek Bedfordshire;61784;83087;86890;86460;57060;76851;Frozen;East Caribbean Dollar Nepalese Rupee lavender;navigating Guar;I;C;2019-10-14
2;transmit Awesom;THX;copy Dynamic;43817;Legacy SAS help-desk;2019-10-14;embrace intranet deposit;2019-10-14;withdrawal;2019-10-14;O;P;eyeballs Movies;Savings Account Pakistan Rupee;connect Berkshire;XSS Suriname;47918;91423;2564;81376;34124;10891;Shirt Moldova;Kyrgyz Republic;unleash Sloveni;m;s;2019-10-14
3;Unbranded Froze;Intelligent Frozen Shoes mission-critical;Shoes;61735;Fiji;2019-10-14;Data;2019-10-14;Kansas Gen;2019-10-14;m;C;haptic;card;multi-byte;Universal;96292;42452;48354;8703;80599;81574;integrate New Caledonia;Solutions;invoice Cambrid;S;S;2019-10-14
4;navigate Idaho ;object-oriented;navigating New Leu p;76665;Table interfaces;2019-10-15;Re-engineered;2019-10-14;Field Berm;2019-10-14;P;E;Sleek Wooden Chips bi-directio;Russian Ruble deploy;Roads feed;Director;12839;81870;10410;60321;72433;33722;Product bypass;Generic;Savings Account;e;T;2019-10-15
5;payment;HDD;Pataca Function-base;45685;olive;2019-10-15;reintermediate efficient Produ;2019-10-14;proactive ;2019-10-15;D;I;content;back up B2C invoice;Via enhance Cotton;Chair Producer Accounts;53995;24365;84203;67155;52095;9292;Cloned 1080p;Rubber connecting back-end;Small Wooden Gl;I;B;2019-10-14
6;Communications ;Forward;Wyoming Texas;39104;Cambridgeshire;2019-10-14;Solomon Islands;2019-10-14;CFA Franc ;2019-10-14;S;u;Chicken;compelling;North Carolina Creative Connecticut;FTP Investor;48706;13919;60625;89826;76480;82933;installation;revolutionize Metal leading-edge;Brooks;C;p;2019-10-14
7;Optimization;solutions Refined deposit;Kids;60255;intuitive streamline;2019-10-14;turquoise green Cambridgeshire;2019-10-14;Credit Car;2019-10-14;c;d;Home Loan Account;Manager open-source;orange Soap;Suriname models;13071;79209;88660;40479;44978;65407;viral;supply-chains hacking;drive Superviso;L;o;2019-10-14
8;Belize Dollar s;Sports;Personal Loan Accoun;19885;Tasty Steel Shoes transform intermediate;2019-10-14;Cambridgeshire asynchronous;2019-10-15;Wooden FTP;2019-10-14;w;K;Licensed withdrawal Quality;markets Extended programming;Triple-buffered;Stream withdrawal withdrawal;89511;45012;63666;22696;61393;88939;Motorway;Computer matrix Berkshire;Small Steel Com;E;G;2019-10-14
9;Branding digita;Awesome invoice;Gorgeous Cotton Chai;89890;1080p;2019-10-14;Coordinator Djibouti Franc;2019-10-15;Polarised;2019-10-14;G;b;Wall;Investment Account;Legacy Slovenia;deposit Steel;33826;11080;92808;59853;22461;9501;strategize Japan;Savings Account Response;Research;t;N;2019-10-14
10;IB Universal Eg;override Wall;input Rhode Island T;5385;intranet;2019-10-14;user-facing Armenia panel;2019-10-15;Saint Hele;2019-10-15;M;i;generate Money Market Account;Delaware;Refined New York PNG;Keyboard Overpass;933;81175;24667;74171;72646;88145;attitude-oriented maroon SAS;orange Saint Barthelemy;generating Savi;h;s;2019-10-14
