id;campaign_code;campaign_name;campaign_desc;investment_type;offer_date;deadline_date;price;fund_target;fund_raised;fund_paid;qty_target;qty_raised;est_roi_min;est_roi_max;prospectus_file;prospectus_file_content_type;status
1;Response i;alarm Jamaica;system Gorgeous Rubber Pants;hack;2019-10-15;2019-10-14;11607;9179;4600;9415;4072;31141;85546;97951;../fake-data/blob/hipster.png;image/png;Shoes Music connect
2;Hollow Sho;Generic Frozen Tuna HTTP;implement;Optimizati;2019-10-14;2019-10-14;68396;16293;61585;7056;94389;64241;94425;2651;../fake-data/blob/hipster.png;image/png;New York Data North Dakota
3;North Caro;Somalia Web revolutionize;invoice teal analyzing;Fantastic;2019-10-15;2019-10-15;9444;61825;68300;33655;7118;65572;31897;38539;../fake-data/blob/hipster.png;image/png;Armenian Dram wireless directional
4;Metal Rupi;Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming in;2019-10-15;2019-10-14;58054;34080;86711;93075;56186;85841;23859;42899;../fake-data/blob/hipster.png;image/png;input compress Fantastic
5;Liechtenst;Direct;Small Frozen Salad bypassing;time-frame;2019-10-14;2019-10-14;57343;49302;63183;8328;44844;9170;29321;60244;../fake-data/blob/hipster.png;image/png;Pakistan
6;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth ;2019-10-14;2019-10-14;83696;61821;86686;10112;83848;8410;42609;70096;../fake-data/blob/hipster.png;image/png;Fantastic Fresh Salad
7;Steel Avon;exploit transition;User-centric Principal Pennsylvania;repurpose ;2019-10-14;2019-10-14;55840;70508;42422;24872;90635;33025;11119;43445;../fake-data/blob/hipster.png;image/png;Advanced grow
8;Handmade W;input Naira;Markets;Glen Refin;2019-10-14;2019-10-15;43633;96322;80210;1215;97790;96987;55600;4315;../fake-data/blob/hipster.png;image/png;Lead
9;Principal ;Paraguay;Sleek Tuna magenta;Wells;2019-10-14;2019-10-14;58431;38420;90115;73710;4544;91525;28096;95870;../fake-data/blob/hipster.png;image/png;Unbranded Cotton Table Generic B2B
10;olive;facilitate Persevering;Fantastic;zero defec;2019-10-14;2019-10-14;41120;81379;60278;68473;27095;16261;13318;91092;../fake-data/blob/hipster.png;image/png;parsing
